A1CF	rep2_peak_4778 (+2911)
CAVIN2	rep2_peak_23193 (-19802)
CBFA2T2	rep2_peak_24651 (+7211)
CBLB	rep2_peak_28157 (+1913)
CBLC	rep2_peak_19778 (-12115), rep2_peak_19781 (+29418)
CBR1	rep2_peak_25608 (+3408)
CBS	rep2_peak_25740 (+7663)
CBX2	rep2_peak_17561 (-17615), rep2_peak_17564 (-392)
CBX4	rep2_peak_17577 (-5782), rep2_peak_17572 (+16732), rep2_peak_17571 (+17936)
CBX7	rep2_peak_26510 (-22328)
CBX8	rep2_peak_17572 (-25581), rep2_peak_17571 (-24377)
CBY1	rep2_peak_26495 (-9147)
CCDC107	rep2_peak_40310 (-432)
CCDC117	rep2_peak_26149 (-25320), rep2_peak_26150 (-12544), rep2_peak_26152 (+11566)
CCDC13	rep2_peak_27382 (+16960)
CCDC130	rep2_peak_19173 (-27371), rep2_peak_19174 (-157)
CCDC154	rep2_peak_13467 (+13509)
CCDC170	rep2_peak_35843 (+4515)
CCDC180	rep2_peak_40877 (-14282)
CCDC187	rep2_peak_41696 (+9457)
CCDC197	rep2_peak_11916 (-7166)
CCDC24	rep2_peak_1142 (+18182)
CCDC25	rep2_peak_38718 (+22069)
CCDC36	rep2_peak_27533 (+19825)
CCDC38	rep2_peak_9300 (+2226)
CCDC50	rep2_peak_29339 (+263)
CCDC51	rep2_peak_27497 (+8575)
CCDC57	rep2_peak_17698 (-19210), rep2_peak_17697 (-18193)
CCDC58	rep2_peak_28285 (+17511)
CCDC65	rep2_peak_8643 (-20364), rep2_peak_8646 (+6241)
CCDC68	rep2_peak_18397 (+10897), rep2_peak_18396 (+13158)
CCDC85C	rep2_peak_12023 (+4992)
CCDC86	rep2_peak_6764 (+2952)
CCDC88A	rep2_peak_21308 (-321)
CCDC9	rep2_peak_19909 (-12158)
CCDC90B	rep2_peak_7437 (-29268)
CCDC96	rep2_peak_29715 (+8107)
CCL16	rep2_peak_16077 (-582), rep2_peak_16076 (+1326), rep2_peak_16075 (+7889)
CCL20	rep2_peak_23719 (-355), rep2_peak_23722 (+5061), rep2_peak_23723 (+7831)
CCL28	rep2_peak_31560 (-20316)
CCND1	rep2_peak_7165 (+117), rep2_peak_7167 (+14007), rep2_peak_7168 (+17206), rep2_peak_7169 (+27264)
CCNG1	rep2_peak_33041 (-17693)
CCNG2	rep2_peak_30295 (-74), rep2_peak_30296 (+1006)
CCNL1	rep2_peak_28848 (-7), rep2_peak_28846 (+23180), rep2_peak_28844 (+25337)
CCNL2	rep2_peak_52 (-1715)
CCNYL1	rep2_peak_23381 (+23241)
CCP110	rep2_peak_13962 (+18456), rep2_peak_13963 (+19626)
CCPG1	rep2_peak_12576 (-12)
CCR10	rep2_peak_16323 (+3307)
CCR6	rep2_peak_36081 (+8551)
CCR7	rep2_peak_16232 (+13427), rep2_peak_16231 (+14128), rep2_peak_16230 (+15928)
CCR8	rep2_peak_27313 (-11935), rep2_peak_27314 (+19597)
CCRL2	rep2_peak_27437 (+21026)
CCT7	rep2_peak_21637 (+28280)
CCZ1B	rep2_peak_36375 (-19528)
CD14	rep2_peak_32722 (+23311)
CD164	rep2_peak_35166 (-1892)
CD22	rep2_peak_19510 (-22939)
CD226	rep2_peak_18537 (+21615)
CD247	rep2_peak_2810 (-14039)
CD2AP	rep2_peak_34609 (-17141)
CD300A	rep2_peak_17283 (-23609)
CD36	rep2_peak_37284 (+24417)
CD3D	rep2_peak_7826 (+12283)
CD3E	rep2_peak_7826 (+25916)
CD4	rep2_peak_8177 (-13482)
CD55	rep2_peak_3357 (+16)
CD7	rep2_peak_17715 (-11031), rep2_peak_17707 (+29431)
CD9	rep2_peak_8145 (+26333)
CDC14B	rep2_peak_40864 (-24499), rep2_peak_40862 (+7486)
CDC34	rep2_peak_18631 (-7464)
CDC42BPA	rep2_peak_3708 (-10145)
CDC42EP1	rep2_peak_26431 (-14601), rep2_peak_26434 (+1485), rep2_peak_26435 (+3048)
CDC42EP2	rep2_peak_6966 (-8716)
CDC42EP4	rep2_peak_17265 (-18455), rep2_peak_17262 (+1349), rep2_peak_17260 (+15546), rep2_peak_17259 (+23110)
CDC73	rep2_peak_3131 (-12198), rep2_peak_3133 (-9708), rep2_peak_3136 (-99)
CDH1	rep2_peak_14756 (+7734)
CDH15	rep2_peak_15295 (+26262)
CDH16	rep2_peak_14677 (+13605)
CDH2	rep2_peak_18128 (+9529)
CDHR3	rep2_peak_37707 (-22962)
CDK12	rep2_peak_16169 (-8246)
CDK3	rep2_peak_17385 (+2188)
CDK4	rep2_peak_8924 (+68)
CDK5RAP1	rep2_peak_24641 (+8274), rep2_peak_24640 (+27535)
CDK5RAP2	rep2_peak_41233 (+8147)
CDK6	rep2_peak_37375 (-149)
CDK7	rep2_peak_31792 (-13823)
CDKAL1	rep2_peak_33744 (-25930)
CDKN1A	rep2_peak_34319 (-11472), rep2_peak_34323 (+5092)
CDKN2AIPNL	rep2_peak_32568 (-4219), rep2_peak_32567 (-19)
CDKN3	rep2_peak_11319 (+27737)
CDON	rep2_peak_7963 (-25910)
CDR2	rep2_peak_14059 (-20173), rep2_peak_14057 (+2785)
CDS2	rep2_peak_24173 (+23526), rep2_peak_24174 (+26287)
CDX2	rep2_peak_10084 (+10266)
CEACAM1	rep2_peak_19733 (-29026)
CEACAM16	rep2_peak_19771 (-4193), rep2_peak_19772 (+19631)
CEACAM19	rep2_peak_19771 (+23236)
CEACAM3	rep2_peak_19707 (-28263)
CEACAM4	rep2_peak_19706 (-18611)
CEACAM6	rep2_peak_19707 (+12753)
CEBPA	rep2_peak_19450 (+26328)
CEBPB	rep2_peak_25094 (-24533), rep2_peak_25097 (-1476)
CEBPD	rep2_peak_38989 (-19246)
CEBPG	rep2_peak_19462 (+19259), rep2_peak_19465 (+23958)
CELA3A	rep2_peak_596 (-3614)
CELA3B	rep2_peak_592 (-29966), rep2_peak_594 (-3846), rep2_peak_595 (-2095), rep2_peak_596 (+21021)
CELF3	rep2_peak_2498 (-13091)
CELSR1	rep2_peak_26716 (+8898)
CELSR2	rep2_peak_2021 (+27619)
CELSR3	rep2_peak_27512 (-924), rep2_peak_27511 (+1029)
CEMP1	rep2_peak_13521 (+6893)
CENPT	rep2_peak_14719 (-10542), rep2_peak_14718 (+806)
CENPU	rep2_peak_31105 (-150)
CENPX	rep2_peak_17682 (+7036), rep2_peak_17679 (+21891), rep2_peak_17678 (+27682), rep2_peak_17676 (+29920)
CEP126	rep2_peak_7579 (-1985)
CEP41	rep2_peak_37907 (+58)
CEP68	rep2_peak_21459 (-24541)
CEP76	rep2_peak_17995 (-27578)
CERK	rep2_peak_26728 (-20774), rep2_peak_26725 (-2039)
CERS2	rep2_peak_2463 (+3564)
CERS4	rep2_peak_18982 (-416)
CERS6	rep2_peak_22849 (+11674)
CES4A	rep2_peak_14681 (+7976)
CETP	rep2_peak_14553 (-28749), rep2_peak_14555 (-12451), rep2_peak_14556 (+3196)
CFAP43	rep2_peak_5687 (-20952)
CFAP58	rep2_peak_5698 (-4435)
CFAP65	rep2_peak_23579 (-17593)
CFB	rep2_peak_34180 (+99)
CFHR4	rep2_peak_3147 (+8496)
CFL1	rep2_peak_7013 (+1163)
CFLAR	rep2_peak_23288 (+8044), rep2_peak_23289 (+13130)
CGA	rep2_peak_34963 (-4596)
CGN	rep2_peak_2485 (+35)
CGREF1	rep2_peak_20740 (+23255)
CHCHD5	rep2_peak_22231 (+28080)
CHD1L	rep2_peak_2352 (-8591), rep2_peak_2353 (-4372), rep2_peak_2354 (-3411), rep2_peak_2355 (-2360), rep2_peak_2356 (-123)
CHD2	rep2_peak_13281 (+4081)
CHD3	rep2_peak_15605 (-21504)
CHD6	rep2_peak_24862 (+23844)
CHD9	rep2_peak_14475 (-64), rep2_peak_14477 (+1599)
CHDH	rep2_peak_27695 (+3337)
CHEK2	rep2_peak_26146 (+29620)
CHGA	rep2_peak_11892 (-17136)
CHGB	rep2_peak_24196 (+185)
CHIC2	rep2_peak_30084 (-20730)
CHKA	rep2_peak_7120 (-24224), rep2_peak_7114 (+21573)
CHMP1B	rep2_peak_17959 (-10731)
CHMP3	rep2_peak_21823 (+6822), rep2_peak_21822 (+15098), rep2_peak_21821 (+18978)
CHN2	rep2_peak_36608 (-3865)
CHP1	rep2_peak_12365 (+10715), rep2_peak_12366 (+28863)
CHRAC1	rep2_peak_39871 (+17226)
CHRDL2	rep2_peak_7294 (-2784)
CHRNA2	rep2_peak_38695 (+19848)
CHST13	rep2_peak_28407 (-5321), rep2_peak_28408 (-278), rep2_peak_28409 (+4730)
CHST3	rep2_peak_5012 (+12630), rep2_peak_5013 (+17086)
CHST5	rep2_peak_14973 (+7185)
CHURC1-FNTB	rep2_peak_11478 (+24175)
CIB2	rep2_peak_13050 (+3478)
CIRBP	rep2_peak_18681 (-18242), rep2_peak_18682 (-16882)
CISD2	rep2_peak_30514 (+9587)
CISD3	rep2_peak_16145 (+16280)
CISH	rep2_peak_27602 (-140), rep2_peak_27601 (+9668), rep2_peak_27600 (+10554), rep2_peak_27599 (+22590)
CITED2	rep2_peak_35618 (-1259), rep2_peak_35617 (-385)
CKAP4	rep2_peak_9419 (-26938)
CLASRP	rep2_peak_19807 (+6963)
CLDN1	rep2_peak_29323 (-22776), rep2_peak_29322 (-8612), rep2_peak_29321 (-16), rep2_peak_29320 (+15075)
CLDN14	rep2_peak_25618 (-1747), rep2_peak_25617 (-116)
CLDN34	rep2_peak_41847 (+14324)
CLDN5	rep2_peak_25919 (-27512)
CLDN7	rep2_peak_15574 (-2314)
CLDND2	rep2_peak_20058 (+6112)
CLEC18C	rep2_peak_14813 (-15847)
CLEC4F	rep2_peak_21582 (+11819), rep2_peak_21581 (+13201)
CLIC1	rep2_peak_34160 (-1492), rep2_peak_34159 (-306)
CLIC4	rep2_peak_690 (+22224)
CLIP1	rep2_peak_9799 (+16476)
CLIP2	rep2_peak_37140 (+3474), rep2_peak_37141 (+5376)
CLK4	rep2_peak_33262 (-3536)
CLMN	rep2_peak_11979 (+18735), rep2_peak_11977 (+24189)
CLN3	rep2_peak_14126 (-10147)
CLNS1A	rep2_peak_7376 (+6581)
CLP1	rep2_peak_6705 (+446)
CLPB	rep2_peak_7225 (+16731)
CLPX	rep2_peak_12767 (+13681)
CLRN2	rep2_peak_29816 (+29304)
CLU	rep2_peak_38708 (-10526), rep2_peak_38705 (+11552), rep2_peak_38703 (+19797)
CLVS1	rep2_peak_39089 (+23978)
CLYBL	rep2_peak_10700 (-25626)
CMIP	rep2_peak_15059 (-13455), rep2_peak_15060 (+3528), rep2_peak_15061 (+7127)
CMTM8	rep2_peak_27187 (-22354), rep2_peak_27188 (-516), rep2_peak_27189 (+26127)
CNEP1R1	rep2_peak_14405 (+11159)
CNIH1	rep2_peak_11321 (-5983), rep2_peak_11319 (+16739)
CNKSR3	rep2_peak_35878 (-25), rep2_peak_35876 (+1530)
CNNM2	rep2_peak_5640 (-8054)
CNNM3	rep2_peak_21929 (+3154)
CNOT11	rep2_peak_22003 (-18433), rep2_peak_22004 (-13218), rep2_peak_22007 (-3918)
CNP	rep2_peak_16278 (+838), rep2_peak_16279 (+23166)
CNRIP1	rep2_peak_21514 (+16829)
CNST	rep2_peak_4062 (+17267)
CNTRL	rep2_peak_41256 (-23081)
COA1	rep2_peak_36790 (+10279)
COA6	rep2_peak_3861 (+8808)
COG1	rep2_peak_17250 (-5510)
COG2	rep2_peak_3812 (-2622), rep2_peak_3814 (+14367)
COG3	rep2_peak_10304 (-24305)
COL11A2	rep2_peak_34207 (-6161)
COL18A1	rep2_peak_25838 (-24324), rep2_peak_25839 (-22421), rep2_peak_25841 (-6467), rep2_peak_25842 (+14312), rep2_peak_25843 (+16306)
COL27A1	rep2_peak_41189 (-1565)
COL4A3BP	rep2_peak_31938 (-11380)
COL5A3	rep2_peak_19019 (+8363)
COLEC11	rep2_peak_20295 (+19172)
COLGALT2	rep2_peak_3083 (+12381)
COMMD2	rep2_peak_28736 (-34)
COMTD1	rep2_peak_5102 (+10280)
COPS4	rep2_peak_30354 (-233)
COPS6	rep2_peak_37536 (-7133)
COPS8	rep2_peak_23883 (-9138)
COPZ1	rep2_peak_8817 (+15971)
COQ10B	rep2_peak_23214 (+28081)
COQ8A	rep2_peak_3698 (+23125)
CORO1A	rep2_peak_14224 (-12247)
COX19	rep2_peak_36215 (-2256), rep2_peak_36213 (+2725)
COX20	rep2_peak_4037 (-17949), rep2_peak_4038 (-1710), rep2_peak_4039 (-551)
COX4I2	rep2_peak_24555 (-29213), rep2_peak_24556 (-27080), rep2_peak_24557 (-24897), rep2_peak_24560 (+26568)
COX5A	rep2_peak_12968 (+9116)
COX7B2	rep2_peak_30027 (+19563)
CP	rep2_peak_28705 (-14183), rep2_peak_28704 (-3305), rep2_peak_28703 (-2040), rep2_peak_28702 (-16), rep2_peak_28701 (+6370), rep2_peak_28700 (+7125)
CPB2	rep2_peak_10313 (-4647), rep2_peak_10312 (+15)
CPD	rep2_peak_16001 (+26438)
CPE	rep2_peak_30991 (-11705), rep2_peak_30992 (-9286), rep2_peak_30993 (+39), rep2_peak_30994 (+3243)
CPLX1	rep2_peak_29524 (+10356)
CPLX2	rep2_peak_33178 (+725)
CPN1	rep2_peak_5545 (-19900)
CPN2	rep2_peak_29384 (+17829)
CPNE5	rep2_peak_34326 (+9905)
CPNE8	rep2_peak_8530 (+13345)
CPOX	rep2_peak_28080 (-67)
CPSF4L	rep2_peak_17259 (-27185), rep2_peak_17258 (-16426), rep2_peak_17257 (-11180)
CPT1A	rep2_peak_7149 (-15820), rep2_peak_7147 (-3735), rep2_peak_7145 (-2107), rep2_peak_7143 (+2630)
CPT2	rep2_peak_1322 (-12842)
CPVL	rep2_peak_36612 (-13328), rep2_peak_36611 (-9448)
CRADD	rep2_peak_9250 (-14194)
CREB3L1	rep2_peak_6611 (-25132), rep2_peak_6612 (-23324), rep2_peak_6613 (-3632)
CREB3L3	rep2_peak_18825 (-6079)
CREG1	rep2_peak_2810 (+21190)
CRELD2	rep2_peak_26763 (+17622), rep2_peak_26764 (+19464), rep2_peak_26765 (+28601)
CREM	rep2_peak_4577 (-527)
CRIM1	rep2_peak_20854 (-2286), rep2_peak_20857 (+25325)
CRISP3	rep2_peak_34625 (-22506), rep2_peak_34624 (-20340)
CRK	rep2_peak_15399 (-800)
CRKL	rep2_peak_25961 (-287)
CRLS1	rep2_peak_24199 (+1695)
CROCC	rep2_peak_472 (-25878)
CRTAM	rep2_peak_7933 (+4936)
CRTAP	rep2_peak_27235 (-11994)
CRYAA	rep2_peak_25743 (-5979)
CRYBA1	rep2_peak_15971 (+27276)
CRYBA2	rep2_peak_23574 (-8661)
CRYBG2	rep2_peak_733 (+3184)
CRYGB	rep2_peak_23423 (+2680)
CRYGC	rep2_peak_23423 (-13658)
CRYGS	rep2_peak_29205 (-6119)
CRYL1	rep2_peak_9974 (+19967)
CS	rep2_peak_8866 (-1599)
CSDC2	rep2_peak_26583 (-11087), rep2_peak_26584 (+27055)
CSF1	rep2_peak_2052 (-27823), rep2_peak_2053 (-14617)
CSF1R	rep2_peak_32910 (-29737), rep2_peak_32906 (-24128)
CSF3R	rep2_peak_994 (-3823)
CSK	rep2_peak_12960 (-21586)
CSNK1D	rep2_peak_17707 (-14440)
CSPP1	rep2_peak_39134 (-57), rep2_peak_39135 (+4464)
CSRNP2	rep2_peak_8725 (-88)
CST3	rep2_peak_24491 (-23696), rep2_peak_24484 (+8728)
CST4	rep2_peak_24491 (+27399)
CST9	rep2_peak_24484 (-23341)
CSTB	rep2_peak_25774 (-6974)
CTCFL	rep2_peak_25274 (-2813)
CTDSP1	rep2_peak_23544 (-3501)
CTDSP2	rep2_peak_8929 (+1081)
CTF1	rep2_peak_14279 (+26083)
CTGF	rep2_peak_35475 (-29736), rep2_peak_35473 (-25312), rep2_peak_35472 (-7713), rep2_peak_35471 (-105), rep2_peak_35470 (+13148)
CTIF	rep2_peak_18299 (+1531)
CTNNA1	rep2_peak_32653 (-22266)
CTNNB1	rep2_peak_27341 (+19)
CTNNBIP1	rep2_peak_306 (-19341), rep2_peak_305 (-4292)
CTNND1	rep2_peak_6716 (+16961)
CTNS	rep2_peak_15466 (+5335)
CTRB1	rep2_peak_14958 (+26342)
CTSA	rep2_peak_24938 (+199)
CTSB	rep2_peak_38462 (+3249)
CTSL	rep2_peak_40705 (-10546)
CTSZ	rep2_peak_25294 (-5397)
CUL4A	rep2_peak_10810 (+10796)
CX3CL1	rep2_peak_14579 (+628)
CXADR	rep2_peak_25487 (-10779), rep2_peak_25489 (+10806), rep2_peak_25491 (+14987)
CXCL17	rep2_peak_19724 (-7492), rep2_peak_19723 (-1046), rep2_peak_19722 (+9293)
CXCL2	rep2_peak_30243 (-23976), rep2_peak_30242 (-530)
CXCL5	rep2_peak_30241 (-6905)
CXXC5	rep2_peak_32681 (-10686)
CYB561	rep2_peak_16971 (-22448)
CYB5A	rep2_peak_18570 (-24980), rep2_peak_18569 (-452)
CYB5B	rep2_peak_14775 (-27793), rep2_peak_14777 (-19944), rep2_peak_14778 (-11232), rep2_peak_14779 (-9325), rep2_peak_14780 (+11842)
CYB5D1	rep2_peak_15605 (+5319)
CYFIP2	rep2_peak_33002 (+25450)
CYGB	rep2_peak_17426 (+4693)
CYP17A1	rep2_peak_5635 (-12713), rep2_peak_5631 (+22370)
CYP19A1	rep2_peak_12509 (+23444), rep2_peak_12508 (+24770), rep2_peak_12506 (+26249)
CYP1A1	rep2_peak_12959 (-5485)
CYP1A2	rep2_peak_12959 (-17749), rep2_peak_12960 (+11627)
CYP24A1	rep2_peak_25259 (-21001)
CYP27A1	rep2_peak_23563 (-25824), rep2_peak_23567 (+24768)
CYP2A6	rep2_peak_19684 (+18393)
CYP2E1	rep2_peak_6040 (-1673)
CYP2J2	rep2_peak_1495 (-9936)
CYP2W1	rep2_peak_36215 (-5344)
CYP3A4	rep2_peak_37515 (-10732), rep2_peak_37513 (+11503)
CYP3A43	rep2_peak_37516 (-695)
CYP3A5	rep2_peak_37508 (-14562), rep2_peak_37504 (+2204)
CYP3A7	rep2_peak_37512 (-7761)
CYP3A7-CYP3A51P	rep2_peak_37510 (+5410)
CYP4F12	rep2_peak_19234 (+8408)
CYP7A1	rep2_peak_39071 (-95), rep2_peak_39069 (+22159), rep2_peak_39068 (+28891)
CYP8B1	rep2_peak_27391 (+20550), rep2_peak_27390 (+22232)
CYSTM1	rep2_peak_32705 (-17089)
CYTH2	rep2_peak_19955 (+634)
DAAM1	rep2_peak_11390 (-223)
DAB2	rep2_peak_31484 (+11983)
DACT2	rep2_peak_36150 (-6785), rep2_peak_36148 (+17921)
DAG1	rep2_peak_27544 (-4746), rep2_peak_27547 (+15214)
DAGLA	rep2_peak_6790 (+1884)
DAGLB	rep2_peak_36360 (-527), rep2_peak_36359 (+818)
DAPK1	rep2_peak_40700 (+8667)
DBI	rep2_peak_22317 (-423)
DBN1	rep2_peak_33237 (+25264)
DBNL	rep2_peak_36803 (-25454), rep2_peak_36805 (-22483), rep2_peak_36806 (-5368)
DBP	rep2_peak_19962 (+9953)
DCAF7	rep2_peak_16975 (-19092), rep2_peak_16977 (+28024)
DCBLD1	rep2_peak_35304 (-3996), rep2_peak_35306 (-1210), rep2_peak_35309 (+19270), rep2_peak_35311 (+24010)
DCDC2	rep2_peak_33791 (-27631), rep2_peak_33790 (-25307)
DCK	rep2_peak_30211 (-22364)
DCP1A	rep2_peak_27689 (-36)
DCP2	rep2_peak_32334 (-7754)
DCST2	rep2_peak_2569 (+8394)
DCTD	rep2_peak_31043 (+19084), rep2_peak_31042 (+21427)
DCTPP1	rep2_peak_14242 (-12428), rep2_peak_14241 (-7645)
DCUN1D3	rep2_peak_14000 (+21498)
DDB2	rep2_peak_6648 (-25443)
DDI2	rep2_peak_417 (-11594), rep2_peak_419 (+1430)
DDIT4	rep2_peak_5028 (-22084), rep2_peak_5032 (-930), rep2_peak_5035 (+2860)
DDO	rep2_peak_35180 (+29903)
DDOST	rep2_peak_546 (-28171)
DDX11	rep2_peak_8474 (+29989)
DDX19B	rep2_peak_14821 (+485)
DDX28	rep2_peak_14728 (-28958)
DDX3X	rep2_peak_42070 (-198)
DDX41	rep2_peak_33242 (-29007)
DDX50	rep2_peak_4939 (-24578), rep2_peak_4940 (-22647)
DDX55	rep2_peak_9853 (-6103)
DECR2	rep2_peak_13426 (+4068)
DEFA6	rep2_peak_38375 (+24767)
DEFB1	rep2_peak_38375 (-23287)
DEFB110	rep2_peak_34626 (-9114)
DEFB112	rep2_peak_34626 (+17556)
DEFB131B	rep2_peak_7211 (+10061)
DENND1A	rep2_peak_41344 (+6973), rep2_peak_41343 (+7897)
DENND4A	rep2_peak_12790 (+4214)
DENND4C	rep2_peak_40173 (-28030)
DEPDC1B	rep2_peak_31715 (+27147), rep2_peak_31714 (+28048)
DEPTOR	rep2_peak_39555 (+22743)
DGAT2	rep2_peak_7330 (-5670), rep2_peak_7333 (+15521)
DHCR24	rep2_peak_1363 (-1331), rep2_peak_1362 (+3264), rep2_peak_1359 (+21493), rep2_peak_1358 (+26061)
DHDH	rep2_peak_19983 (-25826)
DHODH	rep2_peak_14877 (+8574)
DHRS3	rep2_peak_380 (-1415), rep2_peak_377 (+1641), rep2_peak_376 (+3163), rep2_peak_375 (+9069), rep2_peak_374 (+13189)
DHRS4	rep2_peak_10941 (-13754)
DHX16	rep2_peak_34098 (+17522), rep2_peak_34097 (+25500)
DHX33	rep2_peak_15530 (+3757)
DHX58	rep2_peak_16285 (+24300)
DHX8	rep2_peak_16400 (-26811), rep2_peak_16405 (-3802)
DIAPH1	rep2_peak_32740 (-78), rep2_peak_32738 (+28751)
DIDO1	rep2_peak_25351 (+20927)
DIP2B	rep2_peak_8705 (+22140)
DKK1	rep2_peak_4782 (-119)
DKK4	rep2_peak_38942 (+10271)
DLAT	rep2_peak_7715 (-7077)
DLG1	rep2_peak_29479 (-17666)
DLG5	rep2_peak_5146 (+16600)
DLK1	rep2_peak_12056 (+24312)
DLK2	rep2_peak_34496 (+19859)
DNAAF2	rep2_peak_11191 (-6773)
DNAH1	rep2_peak_27645 (-26349), rep2_peak_27646 (-8424)
DNAH14	rep2_peak_3649 (+16531)
DNAH17	rep2_peak_17529 (-14942)
DNAH3	rep2_peak_14007 (-27001)
DNAJB1	rep2_peak_19209 (-1721)
DNAJB11	rep2_peak_29205 (-14582)
DNAJB13	rep2_peak_7281 (+3222)
DNAJC22	rep2_peak_8663 (+1002)
DNAJC8	rep2_peak_810 (+27591)
DNASE1	rep2_peak_13580 (+11583)
DNASE1L3	rep2_peak_27787 (-11366), rep2_peak_27784 (+9616), rep2_peak_27783 (+17692), rep2_peak_27782 (+19497), rep2_peak_27780 (+21911)
DNMT3L	rep2_peak_25783 (+12695)
DOCK4	rep2_peak_37771 (+6), rep2_peak_37769 (+12106), rep2_peak_37767 (+23509)
DOCK5	rep2_peak_38655 (+1593), rep2_peak_38656 (+2907), rep2_peak_38657 (+14238), rep2_peak_38658 (+14957)
DOCK6	rep2_peak_19072 (-3496), rep2_peak_19070 (+22927)
DOCK7	rep2_peak_1554 (-1487)
DONSON	rep2_peak_25558 (+11778)
DOT1L	rep2_peak_18734 (+4931)
DPF1	rep2_peak_19592 (-26669), rep2_peak_19590 (-23624)
DPH5	rep2_peak_1967 (+21510)
DPM2	rep2_peak_41466 (-12336)
DPP4	rep2_peak_22746 (-14808), rep2_peak_22741 (+8603)
DPRX	rep2_peak_20120 (-12083), rep2_peak_20122 (+29238)
DPT	rep2_peak_2842 (-10792)
DPY19L4	rep2_peak_39316 (-106)
DR1	rep2_peak_1816 (-65)
DRAM1	rep2_peak_9378 (-87)
DRC7	rep2_peak_14598 (+9347)
DRG2	rep2_peak_15814 (-57)
DRICH1	rep2_peak_26034 (+27230)
DSG2	rep2_peak_18154 (+14381)
DSG4	rep2_peak_18149 (+20571)
DSP	rep2_peak_33526 (-266), rep2_peak_33527 (+1563), rep2_peak_33529 (+7314), rep2_peak_33532 (+20193)
DST	rep2_peak_34764 (-2389)
DTD2	rep2_peak_11026 (-885), rep2_peak_11025 (+180)
DTNB	rep2_peak_20689 (-19313)
DTX2	rep2_peak_37237 (-3032)
DTX4	rep2_peak_6742 (+1857)
DUSP1	rep2_peak_33112 (-7193), rep2_peak_33111 (-6430), rep2_peak_33110 (-5235), rep2_peak_33109 (-4527), rep2_peak_33108 (-1335), rep2_peak_33106 (+4441), rep2_peak_33105 (+5808)
DUSP10	rep2_peak_3601 (+23469), rep2_peak_3599 (+26593)
DUSP14	rep2_peak_16099 (-7651)
DUSP16	rep2_peak_8297 (+15854)
DUSP3	rep2_peak_16430 (-23038), rep2_peak_16426 (+6880)
DUSP6	rep2_peak_9179 (-22440), rep2_peak_9177 (-2614), rep2_peak_9176 (+565)
DUSP7	rep2_peak_27631 (-24637), rep2_peak_27629 (+16472), rep2_peak_27627 (+26809)
DUSP9	rep2_peak_42682 (-198)
DYNC2LI1	rep2_peak_21085 (-14681)
DYNLRB1	rep2_peak_24702 (+9744)
E2F1	rep2_peak_24656 (-15843)
E2F6	rep2_peak_20452 (-22914), rep2_peak_20449 (-13300)
EARS2	rep2_peak_14073 (-171), rep2_peak_14072 (+16878)
ECE1	rep2_peak_560 (+20657)
ECH1	rep2_peak_19615 (+69)
ECHDC1	rep2_peak_35389 (-543)
ECHDC3	rep2_peak_4229 (-26243)
ECHS1	rep2_peak_6036 (+13988)
ECT2L	rep2_peak_35608 (+18262)
EDARADD	rep2_peak_3988 (+5466)
EDC4	rep2_peak_14719 (-15023)
EDEM2	rep2_peak_24720 (-7513)
EEA1	rep2_peak_9209 (-16579)
EEF1A1	rep2_peak_34848 (-2597), rep2_peak_34847 (-181)
EEF1E1-BLOC1S5	rep2_peak_33545 (+17309)
EEFSEC	rep2_peak_28434 (+14817)
EEPD1	rep2_peak_36711 (+4566), rep2_peak_36712 (+12215)
EFNA1	rep2_peak_2576 (-130)
EFNA2	rep2_peak_18692 (+4931)
EGLN1	rep2_peak_3840 (+1192)
EGR3	rep2_peak_38621 (-269)
EHF	rep2_peak_6548 (+22609), rep2_peak_6549 (+23812)
EIF1	rep2_peak_16255 (-12359)
EIF1AX	rep2_peak_41904 (-87)
EIF1AY	rep2_peak_42752 (-22649)
EIF2AK1	rep2_peak_36344 (+8279)
EIF2S2	rep2_peak_24676 (-23425), rep2_peak_24675 (-20861)
EIF3B	rep2_peak_36262 (-21316)
EIF3I	rep2_peak_906 (+27832)
EIF3L	rep2_peak_26459 (+14415)
EIF4B	rep2_peak_8760 (-13274)
EIF4E2	rep2_peak_23786 (+671)
EIF4EBP1	rep2_peak_38847 (+1265)
EIF4EBP2	rep2_peak_4979 (+2849)
EIF5	rep2_peak_12132 (+13560)
ELF1	rep2_peak_10244 (-6354), rep2_peak_10243 (-459), rep2_peak_10241 (+10749)
ELF3	rep2_peak_3214 (+27124)
ELFN1	rep2_peak_36243 (+25876)
ELL	rep2_peak_19336 (+7078)
ELL2	rep2_peak_32211 (-26260), rep2_peak_32210 (-25119), rep2_peak_32209 (-8216), rep2_peak_32208 (-4145), rep2_peak_32206 (+2885)
ELMOD3	rep2_peak_21778 (+11032)
ELMSAN1	rep2_peak_11657 (-25720), rep2_peak_11655 (-11760), rep2_peak_11653 (+88)
ELOA	rep2_peak_642 (-15562)
ELOVL2	rep2_peak_33573 (-23231), rep2_peak_33572 (+5121)
ELOVL5	rep2_peak_34701 (-11358), rep2_peak_34700 (-10411)
EML1	rep2_peak_12029 (-8690)
EML4	rep2_peak_20985 (-27488), rep2_peak_20989 (+22080)
EMP3	rep2_peak_19952 (+29450)
EMX1	rep2_peak_21621 (-28471)
EMX2	rep2_peak_5858 (-7831)
ENHO	rep2_peak_40282 (+10224)
