A1BG	rep2_peak_20236 (-82)
CXCL12	rep2_peak_4650 (-1723)
CXCL16	rep2_peak_15498 (+4794)
CXCL17	rep2_peak_19726 (-18757), rep2_peak_19725 (-17037), rep2_peak_19724 (-7492), rep2_peak_19723 (-1046), rep2_peak_19722 (+9293)
CXCL2	rep2_peak_30243 (-23976), rep2_peak_30242 (-530)
CXCL5	rep2_peak_30241 (-6905)
CXCR1	rep2_peak_23530 (+21701)
CXCR2	rep2_peak_23530 (+19290)
CXCR3	rep2_peak_42284 (-26041)
CXXC1	rep2_peak_18353 (-346)
CXXC4	rep2_peak_30524 (-442)
CXXC5	rep2_peak_32681 (-10686), rep2_peak_32682 (-5128), rep2_peak_32683 (-1148), rep2_peak_32684 (+2200), rep2_peak_32685 (+7618), rep2_peak_32686 (+21811)
CXorf40A	rep2_peak_42648 (+118)
CXorf57	rep2_peak_42369 (-42)
CYB561	rep2_peak_16971 (-22448), rep2_peak_16970 (-17330), rep2_peak_16969 (+7635)
CYB561A3	rep2_peak_6777 (-258), rep2_peak_6776 (+25531), rep2_peak_6775 (+27383)
CYB561D1	rep2_peak_2036 (-10010), rep2_peak_2037 (-57)
CYB561D2	rep2_peak_27595 (-113)
CYB5A	rep2_peak_18570 (-24980), rep2_peak_18569 (-452), rep2_peak_18568 (+9306), rep2_peak_18567 (+9868)
CYB5B	rep2_peak_14775 (-27793), rep2_peak_14776 (-26367), rep2_peak_14777 (-19944), rep2_peak_14778 (-11232), rep2_peak_14779 (-9325), rep2_peak_14780 (+11842)
CYB5D1	rep2_peak_15604 (-818), rep2_peak_15605 (+5319)
CYB5D2	rep2_peak_15477 (-138), rep2_peak_15478 (+525)
CYB5R3	rep2_peak_26606 (-4071), rep2_peak_26605 (-245), rep2_peak_26604 (+2275)
CYB5R4	rep2_peak_34938 (-49)
CYBA	rep2_peak_15277 (-436)
CYCS	rep2_peak_36554 (-31)
CYFIP1	rep2_peak_12190 (-214), rep2_peak_12189 (+26910)
CYFIP2	rep2_peak_33001 (+22400), rep2_peak_33002 (+25450)
CYGB	rep2_peak_17426 (+4693), rep2_peak_17425 (+5400), rep2_peak_17424 (+10233), rep2_peak_17423 (+12464), rep2_peak_17422 (+13014), rep2_peak_17421 (+14633)
CYHR1	rep2_peak_39977 (+7334), rep2_peak_39976 (+7966)
CYLD	rep2_peak_14429 (-28160)
CYP11A1	rep2_peak_12944 (-6133), rep2_peak_12943 (+1951)
CYP11B1	rep2_peak_39908 (+17746)
CYP17A1	rep2_peak_5635 (-12713), rep2_peak_5634 (-8191), rep2_peak_5633 (-6830), rep2_peak_5632 (-945), rep2_peak_5631 (+22370), rep2_peak_5630 (+23554)
CYP19A1	rep2_peak_12510 (+19598), rep2_peak_12509 (+23444), rep2_peak_12508 (+24770), rep2_peak_12507 (+25403), rep2_peak_12506 (+26249), rep2_peak_12505 (+26872)
CYP1A1	rep2_peak_12959 (-5485), rep2_peak_12958 (-4019), rep2_peak_12957 (-417), rep2_peak_12956 (+8799)
CYP1A2	rep2_peak_12958 (-19215), rep2_peak_12959 (-17749), rep2_peak_12960 (+11627), rep2_peak_12961 (+22842), rep2_peak_12962 (+25041), rep2_peak_12963 (+28337)
CYP20A1	rep2_peak_23319 (+88)
CYP21A2	rep2_peak_34186 (-2433)
CYP24A1	rep2_peak_25259 (-21001)
CYP26A1	rep2_peak_5378 (-1960)
CYP26C1	rep2_peak_5377 (-28964), rep2_peak_5378 (+10666)
CYP27A1	rep2_peak_23563 (-25824), rep2_peak_23564 (-15674), rep2_peak_23565 (-790), rep2_peak_23566 (+395), rep2_peak_23567 (+24768)
CYP27C1	rep2_peak_22419 (-25917), rep2_peak_22418 (+7829)
CYP2A13	rep2_peak_19690 (+15583)
CYP2A6	rep2_peak_19684 (+18393)
CYP2A7	rep2_peak_19685 (-14649)
CYP2B6	rep2_peak_19687 (-28750), rep2_peak_19688 (-10834), rep2_peak_19689 (+9195)
CYP2C18	rep2_peak_5398 (-2875)
CYP2C8	rep2_peak_5405 (-28492), rep2_peak_5404 (-17118)
CYP2C9	rep2_peak_5403 (-22058)
CYP2E1	rep2_peak_6040 (-1673), rep2_peak_6041 (+33)
CYP2F1	rep2_peak_19690 (-10377)
CYP2J2	rep2_peak_1495 (-9936)
CYP2R1	rep2_peak_6314 (+5525)
CYP2S1	rep2_peak_19692 (-25755), rep2_peak_19693 (-16745)
CYP2W1	rep2_peak_36215 (-5344), rep2_peak_36216 (+144), rep2_peak_36217 (+8084), rep2_peak_36218 (+10092)
CYP39A1	rep2_peak_34587 (-251)
CYP3A4	rep2_peak_37515 (-10732), rep2_peak_37514 (+2150), rep2_peak_37513 (+11503)
CYP3A43	rep2_peak_37516 (-695), rep2_peak_37517 (+1564), rep2_peak_37518 (+2186), rep2_peak_37519 (+15875)
CYP3A5	rep2_peak_37508 (-14562), rep2_peak_37507 (-13582), rep2_peak_37506 (-8559), rep2_peak_37505 (+738), rep2_peak_37504 (+2204)
CYP3A7	rep2_peak_37512 (-7761)
CYP3A7-CYP3A51P	rep2_peak_37511 (+1916), rep2_peak_37510 (+5410), rep2_peak_37509 (+14634)
CYP46A1	rep2_peak_12027 (-389)
CYP4B1	rep2_peak_1224 (-10316)
CYP4F11	rep2_peak_19236 (-71)
CYP4F12	rep2_peak_19233 (+655), rep2_peak_19234 (+8408)
CYP4F3	rep2_peak_19232 (+408)
CYP4F8	rep2_peak_19231 (-6991)
CYP4V2	rep2_peak_31154 (-15)
CYP51A1	rep2_peak_37359 (-179)
CYP7A1	rep2_peak_39071 (-95), rep2_peak_39070 (+19698), rep2_peak_39069 (+22159), rep2_peak_39068 (+28891)
CYP8B1	rep2_peak_27393 (-4988), rep2_peak_27392 (+239), rep2_peak_27391 (+20550), rep2_peak_27390 (+22232)
CYR61	rep2_peak_1698 (-123), rep2_peak_1699 (+629), rep2_peak_1700 (+26688)
CYS1	rep2_peak_20391 (+17212), rep2_peak_20390 (+23025)
CYSRT1	rep2_peak_41738 (-1024)
CYSTM1	rep2_peak_32704 (-23315), rep2_peak_32705 (-17089), rep2_peak_32706 (-1932), rep2_peak_32707 (+408), rep2_peak_32708 (+18938)
CYTH1	rep2_peak_17542 (-3590), rep2_peak_17541 (-377)
CYTH2	rep2_peak_19955 (+634)
D2HGDH	rep2_peak_24000 (+955)
DAAM1	rep2_peak_11390 (-223), rep2_peak_11391 (+20131)
DAAM2	rep2_peak_34379 (+8626)
DAB1	rep2_peak_1436 (+23815)
DAB2	rep2_peak_31488 (-23041), rep2_peak_31487 (-12496), rep2_peak_31486 (-2682), rep2_peak_31485 (-4), rep2_peak_31484 (+11983), rep2_peak_31483 (+24260)
DAB2IP	rep2_peak_41281 (-16397), rep2_peak_41282 (+7836)
DACT2	rep2_peak_36150 (-6785), rep2_peak_36149 (+1495), rep2_peak_36148 (+17921)
DAD1	rep2_peak_10887 (+18808), rep2_peak_10886 (+28016)
DAG1	rep2_peak_27544 (-4746), rep2_peak_27545 (-174), rep2_peak_27546 (+371), rep2_peak_27547 (+15214)
DAGLA	rep2_peak_6789 (-13236), rep2_peak_6790 (+1884)
DAGLB	rep2_peak_36361 (-2123), rep2_peak_36360 (-527), rep2_peak_36359 (+818)
DALRD3	rep2_peak_27524 (+132)
DAND5	rep2_peak_19143 (-3919), rep2_peak_19144 (+8500), rep2_peak_19145 (+14280), rep2_peak_19146 (+16561)
DAP	rep2_peak_31266 (+13209)
DAP3	rep2_peak_2597 (-121), rep2_peak_2598 (+9482), rep2_peak_2599 (+12474)
DAPK1	rep2_peak_40698 (-17866), rep2_peak_40699 (+609), rep2_peak_40700 (+8667)
DAPK2	rep2_peak_12732 (-11828)
DAPK3	rep2_peak_18815 (+2144)
DARS	rep2_peak_22518 (+103)
DARS2	rep2_peak_2916 (-33)
DAW1	rep2_peak_23725 (+12981)
DAXX	rep2_peak_34216 (-59)
DAZAP1	rep2_peak_18698 (+959), rep2_peak_18699 (+7922), rep2_peak_18700 (+16938)
DAZAP2	rep2_peak_8728 (+162)
DBF4	rep2_peak_37322 (+31)
DBF4B	rep2_peak_16475 (-13919), rep2_peak_16476 (-16)
DBH	rep2_peak_41638 (+22356)
DBI	rep2_peak_22316 (-922), rep2_peak_22317 (-423), rep2_peak_22318 (+373), rep2_peak_22319 (+6813)
DBN1	rep2_peak_33240 (+16731), rep2_peak_33239 (+17648), rep2_peak_33238 (+18613), rep2_peak_33237 (+25264)
DBNDD1	rep2_peak_15353 (-1051), rep2_peak_15352 (+25144)
DBNL	rep2_peak_36803 (-25454), rep2_peak_36804 (-24337), rep2_peak_36805 (-22483), rep2_peak_36806 (-5368), rep2_peak_36807 (-82)
DBP	rep2_peak_19964 (-145), rep2_peak_19963 (+2843), rep2_peak_19962 (+9953)
DBR1	rep2_peak_28577 (+162)
DBX1	rep2_peak_6413 (+28054)
DCAF1	rep2_peak_27612 (+547)
DCAF10	rep2_peak_40363 (+219)
DCAF11	rep2_peak_10950 (-19129), rep2_peak_10951 (-808), rep2_peak_10952 (+97)
DCAF12	rep2_peak_40267 (-5804), rep2_peak_40266 (+379)
DCAF13	rep2_peak_39479 (+532)
DCAF16	rep2_peak_29822 (+171)
DCAF17	rep2_peak_22901 (-18041), rep2_peak_22902 (-277)
DCAF5	rep2_peak_11571 (-423)
DCAF6	rep2_peak_2823 (-812), rep2_peak_2824 (-193), rep2_peak_2825 (+744)
DCAF7	rep2_peak_16975 (-19092), rep2_peak_16976 (+155), rep2_peak_16977 (+28024), rep2_peak_16978 (+29336)
DCAF8	rep2_peak_2677 (-100)
DCBLD1	rep2_peak_35304 (-3996), rep2_peak_35305 (-1866), rep2_peak_35306 (-1210), rep2_peak_35307 (-236), rep2_peak_35308 (+756), rep2_peak_35309 (+19270), rep2_peak_35310 (+22039), rep2_peak_35311 (+24010)
DCBLD2	rep2_peak_28092 (-322)
DCDC1	rep2_peak_6468 (+31)
DCDC2	rep2_peak_33791 (-27631), rep2_peak_33790 (-25307), rep2_peak_33789 (+21)
DCHS1	rep2_peak_6181 (+1007), rep2_peak_6180 (+20079)
DCK	rep2_peak_30211 (-22364), rep2_peak_30212 (+16), rep2_peak_30213 (+20665)
DCLK2	rep2_peak_30846 (+2066)
DCLRE1B	rep2_peak_2127 (+98)
DCLRE1C	rep2_peak_4290 (-208)
DCP1A	rep2_peak_27690 (-23265), rep2_peak_27689 (-36)
DCP1B	rep2_peak_8107 (-7931), rep2_peak_8106 (+14), rep2_peak_8105 (+10555)
DCP2	rep2_peak_32333 (-8866), rep2_peak_32334 (-7754), rep2_peak_32335 (+111)
DCPS	rep2_peak_7975 (+190)
DCST2	rep2_peak_2569 (+8394), rep2_peak_2568 (+16079), rep2_peak_2567 (+29762)
DCTD	rep2_peak_31045 (-8069), rep2_peak_31044 (-594), rep2_peak_31043 (+19084), rep2_peak_31042 (+21427)
DCTN1	rep2_peak_21660 (-11690)
DCTN4	rep2_peak_32933 (+47)
DCTN5	rep2_peak_14075 (-32)
DCTN6	rep2_peak_38764 (+148)
DCTPP1	rep2_peak_14242 (-12428), rep2_peak_14241 (-7645), rep2_peak_14240 (-215), rep2_peak_14239 (+20466)
DCUN1D2	rep2_peak_10817 (-6)
DCUN1D3	rep2_peak_14003 (-75), rep2_peak_14002 (+612), rep2_peak_14001 (+5787), rep2_peak_14000 (+21498), rep2_peak_13999 (+25565)
DCUN1D4	rep2_peak_30050 (-715), rep2_peak_30051 (+1201)
DCXR	rep2_peak_17687 (-4060), rep2_peak_17686 (-2192), rep2_peak_17685 (+179)
DDA1	rep2_peak_19279 (+195)
DDAH1	rep2_peak_1697 (+4138)
DDAH2	rep2_peak_34157 (+164)
DDB1	rep2_peak_6776 (-3016), rep2_peak_6775 (-1164), rep2_peak_6774 (+52)
DDB2	rep2_peak_6647 (-27509), rep2_peak_6648 (-25443), rep2_peak_6649 (-20953), rep2_peak_6650 (+39), rep2_peak_6651 (+1715), rep2_peak_6652 (+28682)
DDC	rep2_peak_36912 (-29659), rep2_peak_36911 (-26189), rep2_peak_36910 (+9), rep2_peak_36909 (+4460), rep2_peak_36908 (+6935), rep2_peak_36907 (+20290)
DDHD1	rep2_peak_11272 (-3290)
DDHD2	rep2_peak_38859 (0)
DDI2	rep2_peak_416 (-13753), rep2_peak_417 (-11594), rep2_peak_418 (-7136), rep2_peak_419 (+1430)
DDIAS	rep2_peak_7424 (-144)
DDIT3	rep2_peak_8916 (+45), rep2_peak_8915 (+13528)
DDIT4	rep2_peak_5027 (-24890), rep2_peak_5028 (-22084), rep2_peak_5029 (-18796), rep2_peak_5030 (-13119), rep2_peak_5031 (-10146), rep2_peak_5032 (-930), rep2_peak_5033 (+73), rep2_peak_5034 (+953), rep2_peak_5035 (+2860)
DDN	rep2_peak_8648 (+558)
DDO	rep2_peak_35181 (-3809), rep2_peak_35180 (+29903)
DDOST	rep2_peak_546 (-28171), rep2_peak_545 (+71)
DDR1	rep2_peak_34122 (-10882), rep2_peak_34123 (-2552)
DDRGK1	rep2_peak_24107 (+183), rep2_peak_24106 (+28538)
DDT	rep2_peak_26055 (-22715), rep2_peak_26054 (+217)
DDX1	rep2_peak_20498 (+644)
DDX10	rep2_peak_7662 (-29)
DDX11	rep2_peak_8473 (+102), rep2_peak_8474 (+29989)
DDX17	rep2_peak_26493 (-107), rep2_peak_26492 (+1391)
DDX18	rep2_peak_22301 (-77)
DDX19A	rep2_peak_14822 (+93)
DDX19B	rep2_peak_14821 (+485)
DDX20	rep2_peak_2092 (+287)
DDX21	rep2_peak_4942 (+94), rep2_peak_4943 (+410)
DDX23	rep2_peak_8640 (-7642), rep2_peak_8639 (-72)
DDX24	rep2_peak_11922 (-6), rep2_peak_11921 (+22333)
DDX25	rep2_peak_7960 (+21060)
DDX27	rep2_peak_25043 (+27)
DDX28	rep2_peak_14728 (-28958), rep2_peak_14727 (+143)
DDX31	rep2_peak_41616 (+604)
DDX39B	rep2_peak_34144 (+535)
DDX3X	rep2_peak_42069 (-2763), rep2_peak_42070 (-198), rep2_peak_42071 (+1171)
DDX3Y	rep2_peak_42742 (-24729)
DDX41	rep2_peak_33242 (-29007), rep2_peak_33241 (+343)
DDX42	rep2_peak_16982 (-119), rep2_peak_16983 (+12472)
DDX46	rep2_peak_32586 (-75)
DDX47	rep2_peak_8314 (-26428), rep2_peak_8315 (-55)
DDX5	rep2_peak_17020 (-256), rep2_peak_17019 (+908)
DDX50	rep2_peak_4939 (-24578), rep2_peak_4940 (-22647), rep2_peak_4941 (-329)
DDX51	rep2_peak_9946 (-64)
DDX52	rep2_peak_16102 (-154)
DDX54	rep2_peak_9581 (-125)
DDX55	rep2_peak_9853 (-6103), rep2_peak_9854 (-62)
DDX56	rep2_peak_36816 (+11607)
DDX58	rep2_peak_40223 (-24565), rep2_peak_40222 (+60), rep2_peak_40221 (+1011)
DDX59	rep2_peak_3186 (+444)
DDX6	rep2_peak_7840 (-6828), rep2_peak_7839 (-289)
DEAF1	rep2_peak_6071 (-9480), rep2_peak_6070 (-1047)
DECR1	rep2_peak_39291 (-67)
DECR2	rep2_peak_13425 (+207), rep2_peak_13426 (+4068)
DEDD2	rep2_peak_19713 (+2417)
DEF6	rep2_peak_34264 (-80), rep2_peak_34265 (+20541)
DEF8	rep2_peak_15350 (-177)
DEFA6	rep2_peak_38375 (+24767)
DEFB1	rep2_peak_38375 (-23287)
DEFB110	rep2_peak_34626 (-9114)
DEFB112	rep2_peak_34626 (+17556)
DEFB123	rep2_peak_24542 (+9326)
DEFB124	rep2_peak_24542 (+23168)
DEFB126	rep2_peak_24016 (-4493)
DEFB131A	rep2_peak_29742 (+7946), rep2_peak_29743 (+9937)
DEFB131B	rep2_peak_7211 (+10061)
DEFB132	rep2_peak_24017 (+9329)
DEGS1	rep2_peak_3639 (-140), rep2_peak_3640 (+3847), rep2_peak_3641 (+21222), rep2_peak_3642 (+21814), rep2_peak_3643 (+22979)
DEGS2	rep2_peak_12035 (-21611), rep2_peak_12034 (+14818), rep2_peak_12033 (+19416)
DEK	rep2_peak_33733 (-4731), rep2_peak_33732 (-69)
DENND1A	rep2_peak_41346 (-4419), rep2_peak_41345 (+2379), rep2_peak_41344 (+6973), rep2_peak_41343 (+7897)
DENND1B	rep2_peak_3157 (-27291), rep2_peak_3156 (-9)
DENND2D	rep2_peak_2073 (+5506)
DENND3	rep2_peak_39885 (-477), rep2_peak_39886 (+14285), rep2_peak_39887 (+25577)
DENND4A	rep2_peak_12793 (-12552), rep2_peak_12792 (-229), rep2_peak_12791 (+457), rep2_peak_12790 (+4214), rep2_peak_12789 (+8100)
DENND4B	rep2_peak_2525 (-136)
DENND4C	rep2_peak_40173 (-28030), rep2_peak_40174 (+380)
DENND5A	rep2_peak_6214 (-955), rep2_peak_6213 (-43)
DENND5B	rep2_peak_8484 (+371)
DENND6A	rep2_peak_27741 (+238)
DENND6B	rep2_peak_26786 (+4452)
DENR	rep2_peak_9818 (-89)
DEPDC1	rep2_peak_1636 (-41)
DEPDC1B	rep2_peak_31718 (+55), rep2_peak_31717 (+12051), rep2_peak_31716 (+21876), rep2_peak_31715 (+27147), rep2_peak_31714 (+28048)
DEPDC5	rep2_peak_26291 (-3865), rep2_peak_26292 (-935), rep2_peak_26293 (-241), rep2_peak_26294 (+970)
DEPDC7	rep2_peak_6488 (-106), rep2_peak_6489 (+1744)
DEPTOR	rep2_peak_39554 (+20), rep2_peak_39555 (+22743)
DERA	rep2_peak_8352 (+288), rep2_peak_8353 (+1022)
DERL1	rep2_peak_39609 (+189), rep2_peak_39608 (+19885)
DERL2	rep2_peak_15532 (-594)
DERL3	rep2_peak_26044 (-10641)
DESI2	rep2_peak_4035 (+346)
DEUP1	rep2_peak_7510 (+14284)
DFFA	rep2_peak_322 (-15)
DFFB	rep2_peak_143 (+77)
DFNA5	rep2_peak_36541 (+362), rep2_peak_36540 (+894)
DFNB59	rep2_peak_23037 (-419), rep2_peak_23038 (+18275)
DGAT1	rep2_peak_39967 (+24), rep2_peak_39966 (+1368)
DGAT2	rep2_peak_7328 (-24732), rep2_peak_7329 (-19662), rep2_peak_7330 (-5670), rep2_peak_7331 (-122), rep2_peak_7332 (+14046), rep2_peak_7333 (+15521), rep2_peak_7334 (+27232)
DGCR2	rep2_peak_25913 (+12766)
DGCR6L	rep2_peak_25945 (-43)
DGCR8	rep2_peak_25941 (-323)
DGKA	rep2_peak_8835 (-1520)
DGKD	rep2_peak_23805 (-712)
DGKG	rep2_peak_29204 (-19392), rep2_peak_29203 (-247), rep2_peak_29202 (+2926), rep2_peak_29201 (+7946)
DGKQ	rep2_peak_29527 (-11757)
DGUOK	rep2_peak_21648 (+23)
DHCR24	rep2_peak_1365 (-6121), rep2_peak_1364 (-2327), rep2_peak_1363 (-1331), rep2_peak_1362 (+3264), rep2_peak_1361 (+17812), rep2_peak_1360 (+19378), rep2_peak_1359 (+21493), rep2_peak_1358 (+26061)
DHCR7	rep2_peak_7200 (+1054)
DHDDS	rep2_peak_739 (-143)
DHDH	rep2_peak_19983 (-25826), rep2_peak_19984 (+17770)
DHFR	rep2_peak_32049 (+163)
DHFR2	rep2_peak_28060 (+353)
DHODH	rep2_peak_14875 (-6714), rep2_peak_14876 (-186), rep2_peak_14877 (+8574), rep2_peak_14878 (+21353)
DHPS	rep2_peak_19122 (+68)
DHRS1	rep2_peak_10964 (+117)
DHRS13	rep2_peak_15955 (-5892), rep2_peak_15954 (-111), rep2_peak_15953 (+1526)
DHRS2	rep2_peak_10927 (-26706), rep2_peak_10928 (-26087), rep2_peak_10929 (-24722), rep2_peak_10930 (-22827), rep2_peak_10931 (+96), rep2_peak_10932 (+2879), rep2_peak_10933 (+9868), rep2_peak_10934 (+10364)
DHRS3	rep2_peak_381 (-2237), rep2_peak_380 (-1415), rep2_peak_379 (-662), rep2_peak_378 (+516), rep2_peak_377 (+1641), rep2_peak_376 (+3163), rep2_peak_375 (+9069), rep2_peak_374 (+13189), rep2_peak_373 (+16350)
DHRS4	rep2_peak_10941 (-13754), rep2_peak_10942 (+522), rep2_peak_10943 (+16395), rep2_peak_10944 (+20592), rep2_peak_10945 (+28707)
DHRS4L2	rep2_peak_10943 (-18841), rep2_peak_10944 (-14644), rep2_peak_10945 (-6529), rep2_peak_10946 (-28), rep2_peak_10947 (+18112)
DHRS7	rep2_peak_11404 (-1272), rep2_peak_11403 (+4563)
DHTKD1	rep2_peak_4242 (-25928), rep2_peak_4243 (-231)
DHX15	rep2_peak_29849 (+43)
DHX16	rep2_peak_34100 (-6146), rep2_peak_34099 (-15), rep2_peak_34098 (+17522), rep2_peak_34097 (+25500)
DHX29	rep2_peak_31609 (-47)
DHX30	rep2_peak_27477 (-13686), rep2_peak_27478 (-8147), rep2_peak_27479 (+21984)
DHX32	rep2_peak_5983 (+1630)
DHX33	rep2_peak_15531 (+131), rep2_peak_15530 (+3757)
DHX34	rep2_peak_19915 (+4213)
DHX35	rep2_peak_24838 (-7720), rep2_peak_24839 (-76)
DHX36	rep2_peak_28807 (-677), rep2_peak_28806 (-29)
DHX38	rep2_peak_14881 (-20517), rep2_peak_14882 (-11083), rep2_peak_14883 (-9613), rep2_peak_14884 (+194)
DHX40	rep2_peak_16879 (-55)
DHX57	rep2_peak_20924 (+142)
DHX58	rep2_peak_16285 (+24300)
DHX8	rep2_peak_16400 (-26811), rep2_peak_16401 (-25307), rep2_peak_16402 (-17698), rep2_peak_16403 (-14000), rep2_peak_16404 (-5887), rep2_peak_16405 (-3802), rep2_peak_16406 (-1728), rep2_peak_16407 (-135)
DHX9	rep2_peak_3058 (+49)
DIABLO	rep2_peak_9793 (+1530)
DIAPH1	rep2_peak_32740 (-78), rep2_peak_32739 (+10355), rep2_peak_32738 (+28751)
DICER1	rep2_peak_11970 (-25867), rep2_peak_11969 (+396)
DIDO1	rep2_peak_25353 (+61), rep2_peak_25352 (+11391), rep2_peak_25351 (+20927), rep2_peak_25350 (+22805), rep2_peak_25349 (+24753)
DIEXF	rep2_peak_3380 (-13888), rep2_peak_3381 (-110)
DIMT1	rep2_peak_31730 (+64)
DIO1	rep2_peak_1329 (+5240), rep2_peak_1330 (+13296), rep2_peak_1331 (+25037)
DIP2A	rep2_peak_25858 (-455)
DIP2B	rep2_peak_8702 (-184), rep2_peak_8703 (+367), rep2_peak_8704 (+4375), rep2_peak_8705 (+22140), rep2_peak_8706 (+27880)
DIP2C	rep2_peak_4104 (-22680)
DIRC2	rep2_peak_28303 (-943)
DIS3	rep2_peak_10515 (-249), rep2_peak_10514 (-117)
DIS3L2	rep2_peak_23779 (-3566), rep2_peak_23780 (+76), rep2_peak_23781 (+3741)
DISC1	rep2_peak_3846 (-120), rep2_peak_3847 (+565), rep2_peak_3848 (+1489), rep2_peak_3849 (+24885)
DISP2	rep2_peak_12337 (+10101)
DIXDC1	rep2_peak_7709 (-10326), rep2_peak_7710 (-1746), rep2_peak_7711 (+262)
DKC1	rep2_peak_42719 (-5)
DKK1	rep2_peak_4781 (-5482), rep2_peak_4782 (-119)
DKK3	rep2_peak_6261 (+17207)
DKK4	rep2_peak_38944 (-10696), rep2_peak_38943 (-8371), rep2_peak_38942 (+10271)
DLAT	rep2_peak_7714 (-18557), rep2_peak_7715 (-7077), rep2_peak_7716 (+491)
DLD	rep2_peak_37724 (+199)
DLG1	rep2_peak_29479 (-17666), rep2_peak_29478 (-537), rep2_peak_29477 (+77), rep2_peak_29476 (+27825)
DLG3	rep2_peak_42271 (-10945)
DLG5	rep2_peak_5149 (-18148), rep2_peak_5148 (+175), rep2_peak_5147 (+14671), rep2_peak_5146 (+16600)
DLGAP3	rep2_peak_959 (-19008), rep2_peak_958 (+4602)
DLGAP5	rep2_peak_11352 (+2)
DLK1	rep2_peak_12054 (-18311), rep2_peak_12055 (+23571), rep2_peak_12056 (+24312)
DLK2	rep2_peak_34497 (+1861), rep2_peak_34496 (+19859)
DLL4	rep2_peak_12356 (-22812), rep2_peak_12357 (-21819), rep2_peak_12358 (-19505), rep2_peak_12359 (-12), rep2_peak_12360 (+1357), rep2_peak_12361 (+3427)
DLST	rep2_peak_11690 (-45), rep2_peak_11691 (+2406), rep2_peak_11692 (+16418), rep2_peak_11693 (+16971)
DLX1	rep2_peak_22919 (+9851)
DLX2	rep2_peak_22923 (-17417), rep2_peak_22922 (-16277), rep2_peak_22921 (-1139), rep2_peak_22920 (-182), rep2_peak_22919 (+7823)
DLX4	rep2_peak_16623 (-29649)
DLX5	rep2_peak_37450 (+8258), rep2_peak_37449 (+8772)
DLX6	rep2_peak_37448 (-121), rep2_peak_37449 (+10777), rep2_peak_37450 (+11291)
DMAP1	rep2_peak_1143 (-55), rep2_peak_1144 (+4462)
DMBT1	rep2_peak_5943 (-27562)
DMBX1	rep2_peak_1222 (+20102)
DMKN	rep2_peak_19521 (+3138), rep2_peak_19520 (+18088)
DMPK	rep2_peak_19850 (+10084)
DMRT3	rep2_peak_40023 (+21879)
DMTF1	rep2_peak_37306 (-63)
DMTN	rep2_peak_38587 (-5104), rep2_peak_38588 (+1261), rep2_peak_38589 (+7345)
DMXL1	rep2_peak_32379 (-7683), rep2_peak_32380 (-1217), rep2_peak_32381 (-218)
DMXL2	rep2_peak_12511 (-234)
DNA2	rep2_peak_4930 (-85)
DNAAF2	rep2_peak_11191 (-6773), rep2_peak_11190 (+12), rep2_peak_11189 (+845), rep2_peak_11188 (+1322)
DNAAF3	rep2_peak_20145 (+5925)
DNAAF5	rep2_peak_36203 (-132), rep2_peak_36204 (+5707)
DNAH1	rep2_peak_27645 (-26349), rep2_peak_27646 (-8424), rep2_peak_27647 (+23484)
DNAH14	rep2_peak_3648 (-2), rep2_peak_3649 (+16531)
DNAH17	rep2_peak_17530 (-24396), rep2_peak_17529 (-14942), rep2_peak_17528 (-11420), rep2_peak_17527 (+19128)
DNAH3	rep2_peak_14008 (-29438), rep2_peak_14007 (-27001), rep2_peak_14006 (+812)
DNAH6	rep2_peak_21761 (-29871), rep2_peak_21762 (-28616)
DNAH7	rep2_peak_23204 (-19592)
DNAH9	rep2_peak_15677 (+10150)
DNAI1	rep2_peak_40280 (-152)
DNAJA1	rep2_peak_40228 (+65), rep2_peak_40229 (+4461), rep2_peak_40230 (+7773), rep2_peak_40231 (+16796), rep2_peak_40232 (+23005)
DNAJA2	rep2_peak_14350 (-27104), rep2_peak_14349 (-73), rep2_peak_14348 (+836), rep2_peak_14347 (+24895)
DNAJA3	rep2_peak_13605 (-179), rep2_peak_13606 (+499)
DNAJB1	rep2_peak_19209 (-1721), rep2_peak_19208 (-427), rep2_peak_19207 (+207), rep2_peak_19206 (+5278), rep2_peak_19205 (+8062), rep2_peak_19204 (+12788), rep2_peak_19203 (+15573), rep2_peak_19202 (+20865)
DNAJB11	rep2_peak_29205 (-14582), rep2_peak_29206 (-227), rep2_peak_29207 (+98)
DNAJB12	rep2_peak_5045 (-9310), rep2_peak_5044 (+292), rep2_peak_5043 (+17841), rep2_peak_5042 (+20060), rep2_peak_5041 (+23153), rep2_peak_5040 (+26784)
DNAJB13	rep2_peak_7281 (+3222)
DNAJB14	rep2_peak_30486 (-2479)
DNAJB2	rep2_peak_23599 (+29), rep2_peak_23600 (+15804)
DNAJB4	rep2_peak_1671 (-41)
DNAJB6	rep2_peak_38304 (-26506)
DNAJB8	rep2_peak_28444 (-23112), rep2_peak_28443 (-20970)
DNAJB9	rep2_peak_37746 (+232)
DNAJC10	rep2_peak_23088 (+39)
DNAJC11	rep2_peak_182 (-22742)
DNAJC12	rep2_peak_4918 (-11313), rep2_peak_4917 (-7), rep2_peak_4916 (+10152), rep2_peak_4915 (+19690)
DNAJC14	rep2_peak_8830 (+1119)
DNAJC15	rep2_peak_10271 (+414), rep2_peak_10272 (+22373)
DNAJC16	rep2_peak_413 (-32)
DNAJC17	rep2_peak_12352 (-225)
